Pret,Versiune,Vechime,Km,Putere,Capacitate cilindrica,Marca,Model,Combustibil,Transmisie,Norma de poluare,Cutie de viteze,Tip Caroserie,Optiuni culoare,Tara de origine,Stare
29790,D4 AWD Inscription,6.0,124000,190,1969,Volvo,XC 60,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Italia,Second hand
12495,109 CDI Extralung Mixt,5.0,36000,90,1461,Mercedes-Benz,Citan,Diesel,Fata,Euro 6,Manuala,Monovolum,Metalizata,Romania,Second hand
8699,1.6 BlueHDi FAP STT Active,8.0,219000,120,1560,Peugeot,308,Diesel,Fata,Euro 6,Manuala,Combi,Metalizata,Olanda,Second hand
37849,2.2 CRDi 2WD Signature,4.0,51500,202,2151,Hyundai,Santa Fe,Diesel,Fata,Euro 6,Automata,SUV,Metalizata,Franta,Second hand
6390,1.8 TSI FR,11.0,228300,160,1798,Seat,Leon,Benzina,Fata,Euro 5,Manuala,Compacta,Metalizata,Germania,Second hand
28588,1.4 TSI PHEV Style,4.0,63811,218,1395,Skoda,Superb,Hibrid,Fata,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
10200,1.6 TDI Sportback ultra Attraction,9.0,230000,110,1598,Audi,A3,Diesel,Fata,Euro 6,Manuala,Sedan,Metalizata,Germania,Second hand
3999,Estate 1.5dCi Authentique,12.0,166418,75,1461,Renault,Clio,Diesel,Fata,Euro 5,Manuala,Combi,Metalizata,Germania,Second hand
65479,B5 MHEV AWD 7 locuri Inscription,2.0,19868,235,1969,Volvo,XC 90,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
27370,1.5 TSI ACT DSG Highline,3.0,21294,150,1498,Volkswagen,Passat,Benzina,Fata,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
11600,1.5 VVT-i HSD Luna,10.0,80000,75,1497,Toyota,Yaris,Hibrid,Fata,Euro 5,Automata,Cabrio,Metalizata,Japonia,Second hand
2690,1.3 Club,17.0,185000,92,1328,Suzuki,Swift,Benzina + GPL,Fata,Euro 4,Manuala,Coupe,Metalizata,Germania,Second hand
12990,1.0 TSI Style,5.0,107850,115,999,Skoda,Scala,Benzina,Fata,Euro 6,Manuala,Compacta,Metalizata,Romania,Second hand
64583,Recharge T8 AWD AT Ultimate Dark,2.0,13200,310,1969,Volvo,XC 60,Hibrid,4x4 (automat),Euro 6d,Automata,SUV,Metalizata,Germania,Second hand
30500,xDrive20d Aut. Luxury Line,5.0,156700,190,1995,BMW,X3,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
5700,1.6 TDCi DPF Start-Stopp-System Trend,13.0,193394,95,1560,Ford,Focus,Diesel,Fata,Euro 5,Manuala,Compacta,Metalizata,Franta,Second hand
36999,T8 Twin Engine AWD Geartronic Momentum,5.0,101850,303,1969,Volvo,XC 60,Hibrid,4x4 (automat),Euro 6,Automata,SUV,Perlat,Belgia,Second hand
30500,2.0 40 TDI quattro S tronic Sport,5.0,197500,190,1968,Audi,Q5,Diesel,4x4 (automat),Euro 6,Automata,SUV,Perlat,Franta,Second hand
42800,Avant 35 TDI S tronic,2.0,67500,163,1968,Audi,A6,Diesel,Fata,Euro 6,Automata,Combi,Perlat,Germania,Second hand
27200,Sportback 2.0 TDI S tronic,6.0,115000,190,1968,Audi,A5,Diesel,Fata,Euro 6,Automata,Sedan,Metalizata,Germania,Second hand
104990,400 d 4MATIC Aut.,3.0,54000,330,2925,Mercedes-Benz,GLS,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
25989,530i xDrive AT,4.0,130000,252,1998,BMW,Seria 5,Benzina,4x4 (automat),Euro 6,Automata,Sedan,Metalizata,Romania,Second hand
14100,1.6 DCi TEKNA+,8.0,145000,130,1598,Nissan,Qashqai,Diesel,Fata,Euro 6,Manuala,SUV,Metalizata,Franta,Second hand
14289,1.0 TSI DSG Sound,6.0,132000,110,999,Volkswagen,Golf,Benzina,Fata,Euro 6,Automata,Compacta,Metalizata,Belgia,Second hand
82280,400 d 4MATIC,3.0,36000,330,2925,Mercedes-Benz,GLE,Diesel,4x4 (automat),Euro 6,Automata,SUV,Metalizata,Germania,Second hand
